1.2385 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
17.2705 	DATA 	Keypress: v
17.2840 	DATA 	Keypress: x
17.5752 	DATA 	Keypress: n
17.5890 	DATA 	Keypress: b
17.5892 	DATA 	Keypress: m
17.7763 	DATA 	Keypress: v
17.7765 	DATA 	Keypress: b
17.7905 	DATA 	Keypress: n
17.7907 	DATA 	Keypress: m
18.4019 	DATA 	Keypress: num_1
18.5607 	DATA 	Keypress: num_4
18.7219 	DATA 	Keypress: num_4
18.9088 	DATA 	Keypress: num_2
19.9856 	DATA 	Keypress: num_1
19.9860 	DATA 	Keypress: num_2
20.4365 	DATA 	Keypress: return
20.5651 	WARNING 	Got keycode {} but that code isn't yet known
20.5652 	WARNING 	Keypress was given unknown key code (110)
20.5688 	DATA 	Keypress: num_0
20.5689 	DATA 	Keypress: num_decimal
20.7107 	WARNING 	Got keycode {} but that code isn't yet known
20.7107 	WARNING 	Keypress was given unknown key code (110)
20.7150 	DATA 	Keypress: num_0
20.7152 	DATA 	Keypress: num_decimal
20.7288 	DATA 	Keypress: return
20.8603 	DATA 	Keypress: num_0
20.8606 	DATA 	Keypress: num_decimal
20.8692 	WARNING 	Got keycode {} but that code isn't yet known
20.8692 	WARNING 	Keypress was given unknown key code (110)
20.8733 	DATA 	Keypress: return
21.0130 	DATA 	Keypress: num_0
21.0227 	WARNING 	Got keycode {} but that code isn't yet known
21.0228 	WARNING 	Keypress was given unknown key code (110)
21.0267 	DATA 	Keypress: num_decimal
21.0269 	DATA 	Keypress: return
21.1795 	DATA 	Keypress: lctrl
21.3493 	WARNING 	Got keycode {} but that code isn't yet known
21.3494 	WARNING 	Keypress was given unknown key code (110)
21.3535 	DATA 	Keypress: num_decimal
21.3537 	DATA 	Keypress: num_0
21.5163 	WARNING 	Got keycode {} but that code isn't yet known
21.5163 	WARNING 	Keypress was given unknown key code (110)
21.5200 	DATA 	Keypress: num_decimal
21.5409 	DATA 	Keypress: num_0
21.6839 	WARNING 	Got keycode {} but that code isn't yet known
21.6839 	WARNING 	Keypress was given unknown key code (110)
21.6868 	DATA 	Keypress: num_decimal
21.7018 	DATA 	Keypress: return
21.7021 	DATA 	Keypress: num_0
21.8368 	WARNING 	Got keycode {} but that code isn't yet known
21.8368 	WARNING 	Keypress was given unknown key code (110)
21.8391 	DATA 	Keypress: num_decimal
21.8536 	DATA 	Keypress: return
21.8677 	DATA 	Keypress: num_0
22.0039 	WARNING 	Got keycode {} but that code isn't yet known
22.0039 	WARNING 	Keypress was given unknown key code (110)
22.0064 	DATA 	Keypress: num_decimal
22.0202 	DATA 	Keypress: return
22.0204 	DATA 	Keypress: num_0
22.2229 	DATA 	Keypress: escape
22.3801 	EXP 	window1: mouseVisible = True
